Kazachstania yakushimaensis
Kazachstania transvaalensis
Kazachstania taianensis
Kazachstania bromeliacearum
Kazachstania naganishii
Kazachstania intestinalis
Kazachstania martiniae
Kazachstania spencerorum
Kazachstania rosinii
Kazachstania kunashirensis
Kazachstania turicensis
Kazachstania viticola
Kazachstania africana
Saccharomyces paradoxus
Saccharomyces cerevisiae
Saccharomyces mikatae
Saccharomyces kudriavzevii
Saccharomyces arboricola
Saccharomyces uvarum
Saccharomyces eubayanus
Candida bracarensis
Nakaseomyces delphensis
Candida nivariensis
Candida glabrata
Candida castellii
Nakaseomyces bacillisporus
Torulaspora franciscae
Torulaspora pretoriensis
Torulaspora delbrueckii
Torulaspora maleeae
Torulaspora microellipsoides
Zygotorulaspora florentina
Zygotorulaspora mrakii
Zygosaccharomyces rouxii
Zygosaccharomyces kombuchaensis
Zygosaccharomyces bailii
Zygosaccharomyces bisporus
Tetrapisispora iriomotensis
Tetrapisispora phaffii
Tetrapisispora namnaonensis
Tetrapisispora fleetii
Vanderwaltozyma polyspora
Tetrapisispora blattae
Yueomyces sinensis
Lachancea waltii
Lachancea thermotolerans
Lachancea quebecensis
Lachancea lanzarotensis
Lachancea fantastica_nom_nud
Lachancea meyersii
Lachancea dasiensis
Lachancea nothofagi
Lachancea mirantina
Lachancea fermentati
Lachancea cidri
Lachancea kluyveri
Kluyveromyces marxianus
Kluyveromyces dobzhanskii
Kluyveromyces lactis
Kluyveromyces aestuarii
Eremothecium cymbalariae
Eremothecium gossypii
Ashbya aceri
Eremothecium coryli
Eremothecium sinecaudum
Hanseniaspora osmophila
Hanseniaspora vineae
Hanseniaspora valbyensis
Hanseniaspora singularis
Hanseniaspora hatyaiensis
Hanseniaspora uvarum
Hanseniaspora clermontiae
Hanseniaspora pseudoguilliermondii
Cyberlindnera maclurae
Cyberlindnera misumaiensis
Candida vartiovaarae
Cyberlindnera jadinii
Cyberlindnera suaveolens
Cyberlindnera saturnus
Cyberlindnera mrakii
Cyberlindnera xylosilytica
Cyberlindnera petersonii
Candida mycetangii
Cyberlindnera americana
Cyberlindnera fabianii
Candida freyschussii
Wickerhamomyces hampshirensis
Wickerhamomyces alni
Wickerhamomyces canadensis
Wickerhamomyces sp._YB_2243
Barnettozyma californica
Barnettozyma populi
Barnettozyma hawaiiensis
Barnettozyma salicaria
Barnettozyma pratensis
Phaffomyces antillensis
Phaffomyces opuntiae
Phaffomyces thermotolerans
Candida orba
Candida montana
Wickerhamomyces bovis
Wickerhamomyces ciferrii
Wickerhamomyces anomalus
Starmera stellimalicola
Starmera amethionina
Starmera quercuum
Candida ponderosae
Saccharomycopsis capsularis
Saccharomycopsis malanga
Ascoidea asiatica
Ascoidea rubescens
Sporopachydermia lactativora
Sporopachydermia quercuum
Alloascoidea hylecoeti
Magnusiomyces tetraspermus
Magnusiomyces clavatus
Galactomyces candidus
Dipodascus geniculatus
Dipodascus albidus
Middelhovenomyces tepae
Groenewaldozyma salmanticensis
Zygoascus meyerae
Zygoascus ofunaensis
Diddensiella caesifluorescens
Spencermartinsiella europaea
Sugiyamaella lignohabitans
Blastobotrys proliferans
Blastobotrys nivea
Blastobotrys mokoenaii
Blastobotrys serpentis
Blastobotrys adeninivorans
Blastobotrys raffinosifermentans
Blastobotrys americanus
Blastobotrys peoriensis
Blastobotrys muscicola
Deakozyma indianensis
Candida incommunis
Wickerhamiella versatilis
Starmerella bombicola
Starmerella apicola
Wickerhamiella domercqiae
Wickerhamiella cacticola
Wickerhamiella infanticola
Yarrowia bubula
Yarrowia divulgata
Yarrowia deformans
Yarrowia lipolytica
Yarrowia keelungensis
Candida hispaniensis
Nadsonia fulvescens_var._fulvescens
Nadsonia fulvescens_var._elongata
Tortispora ganteri
Tortispora caseinolytica
Tortispora starmeri
Botryozyma nematodophila
Trigonopsis variabilis
Trigonopsis vinaria
Lipomyces japonicus
Lipomyces starkeyi
Lipomyces arxii
Lipomyces mesembrius
Lipomyces kononenkoae
Lipomyces doorenjongii
Lipomyces oligophaga
Lipomyces suomiensis
Lipomyces lipofer
Tuber magnatum
Tuber umbilicatum
Tuber melanosporum
Tuber calosporum
Tuber borchii
Morchella septimelata
Morchella eximia
Pyronema omphalodes
Arthrobotrys oligosporus
Dactylellina haptotyla
Drechslerella stenobrocha
Magnaporthiopsis rhizophila
Magnaporthiopsis poae
Magnaporthiopsis incrustans
Gaeumannomyces tritici
Gaeumannomyces sp._JS-464
Falciphora oryzae
Nakataea oryzae
Magnaporthe sp._MG12
Magnaporthe sp._MG03
Pyricularia oryzae
Magnaporthe sp._MG05
Magnaporthe sp._MG08
Magnaporthe sp._MG07
Magnaporthe grisea
Pyricularia pennisetigena
Ophioceras dolichostomum
Pseudohalonectria lignicola
Ophiostoma novo-ulmi
Ophiostoma piceae
Ceratocystis montium
Sporothrix brasiliensis
Sporothrix schenckii
Sporothrix globosa
Sporothrix pallida
