ID	original_genome_id	old_speceis_names	speceis_names_fig2	hex	id_table S1	Species name	Major clade	clade_order	Family	Genus	CUG usage
213	saccharomycopsis_malanga	Saccharomycopsis_malanga	Saccharomycopsis_malanga	#b0ff00	218	Saccharomycopsis malanga	CUG-Ser2	9	Saccharomycopsidaceae	Saccharomycopsis	Ser
214	yHMPu5000034607_saccharomycopsis_capsularis_160519	yHMPu5000034607_Saccharomycopsis_capsularis	Saccharomycopsis_capsularis	#b0ff00	219	Saccharomycopsis capsularis	CUG-Ser2	9	Saccharomycopsidaceae	Saccharomycopsis	Ser
215	candida_sorboxylosa	Candida_sorboxylosa	Candida_sorboxylosa	#FF8200	66	Candida sorboxylosa	Pichiaceae	7	Saccharomycetales incertae sedis	Candida	Leu
216	komagataella_pastoris	Komagataella_pastoris	Komagataella_pastoris	#FF8200	69	Komagataella pastoris	Pichiaceae	7	Saccharomycetales incertae sedis	Komagataella	Leu
217	yHMPu5000035048_barnettozyma_salicaria_160519	yHMPu5000035048_Barnettozyma_salicaria	Barnettozyma_salicaria	#00e4ff	243	Barnettozyma salicaria	Phaffomycetaceae	10	Phaffomycetaceae	Barnettozyma	Leu
218	yHMPu5000035044_barnettozyma_californica_160519	yHMPu5000035044_Barnettozyma_californica	Barnettozyma_californica	#00e4ff	247	Barnettozyma californica	Phaffomycetaceae	10	Phaffomycetaceae	Barnettozyma	Leu
219	yHMPu5000035046_barnettozyma_populi_160613	yHMPu5000035046_Barnettozyma_populi	Barnettozyma_populi	#00e4ff	245	Barnettozyma populi	Phaffomycetaceae	10	Phaffomycetaceae	Barnettozyma	Leu
220	yHMPu5000035689_candida_mycetangii_160613	yHMPu5000035689_Candida_mycetangii	Candida_mycetangii	#00e4ff	227	Candida mycetangii	Phaffomycetaceae	10	Phaffomycetaceae	Candida	Leu
221	yHMPu5000035690_candida_vartiovaarae_160613	yHMPu5000035690_Candida_vartiovaarae	Candida_vartiovaarae	#00e4ff	226	Candida vartiovaarae	Phaffomycetaceae	10	Phaffomycetaceae	Candida	Leu
222	yHMPu5000035673_candida_orba_160613	yHMPu5000035673_Candida_orba	Candida_orba	#00e4ff	231	Candida orba	Phaffomycetaceae	10	Phaffomycetaceae	Candida	Leu
223	yHMPu5000034597_candida_stellimalicola_160519	yHMPu5000034597_Candida_stellimalicola	Candida_stellimalicola	#00e4ff	252	Candida stellimalicola	Phaffomycetaceae	10	Phaffomycetaceae	Candida	Leu
224	cyberlindnera_fabianii_JCM3601	Cyberlindnera_fabianii_JCM3601	Cyberlindnera_fabianii	#00e4ff	220	Cyberlindnera fabianii	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
225	cyberlindnera_jadinii	Cyberlindnera_jadinii	Cyberlindnera_jadinii	#00e4ff	221	Cyberlindnera jadinii	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
226	yHMPu5000035703_cyberlindnera_americana_160613	yHMPu5000035703_Cyberlindnera_americana	Cyberlindnera_americana	#00e4ff	224	Cyberlindnera americana	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
227	yHMPu5000026274_komagataella_populi_160519	yHMPu5000026274_Komagataella_populi	Komagataella_populi	#FF8200	116	Komagataella populi	Pichiaceae	7	Saccharomycetales incertae sedis	Komagataella	Leu
228	yHMPu5000034939_komagataella_pseudopastoris_160519	yHMPu5000034939_Komagataella_pseudopastoris	Komagataella_pseudopastoris	#FF8200	85	Komagataella pseudopastoris	Pichiaceae	7	Saccharomycetales incertae sedis	Komagataella	Leu
229	yHMPu5000035672_phaffomyces_thermotolerans_160613	yHMPu5000035672_Phaffomyces_thermotolerans	Phaffomyces_thermotolerans	#00e4ff	232	Phaffomyces thermotolerans	Phaffomycetaceae	10	Phaffomycetaceae	Phaffomyces	Leu
230	yHMPu5000035671_phaffomyces_antillensis_160613	yHMPu5000035671_Phaffomyces_antillensis	Phaffomyces_antillensis	#00e4ff	233	Phaffomyces antillensis	Phaffomycetaceae	10	Phaffomycetaceae	Phaffomyces	Leu
231	yHMPu5000035670_phaffomyces_opuntiae_160613	yHMPu5000035670_Phaffomyces_opuntiae	Phaffomyces_opuntiae	#00e4ff	234	Phaffomyces opuntiae	Phaffomycetaceae	10	Phaffomycetaceae	Phaffomyces	Leu
232	yHMPu5000034594_starmera_quercuum_160519	yHMPu5000034594_Starmera_quercuum	Starmera_quercuum	#00e4ff	253	Starmera quercuum	Phaffomycetaceae	10	Phaffomycetaceae	Starmera	Leu
233	yHMPu5000035658_starmera_amethionina_160613	yHMPu5000035658_Starmera_amethionina	Starmera_amethionina	#00e4ff	235	Starmera amethionina	Phaffomycetaceae	10	Phaffomycetaceae	Starmera	Leu
234	wickerhamomyces_anomalus	Wickerhamomyces_anomalus	Wickerhamomyces_anomalus	#00e4ff	222	Wickerhamomyces anomalus	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
235	yHMPu5000035268_wickerhamomyces_hampshirensis_160928	yHMPu5000035268_Wickerhamomyces_hampshirensis	Wickerhamomyces_hampshirensis	#00e4ff	241	Wickerhamomyces hampshirensis	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
236	yHMPu5000035639_wickerhamomyces_canadensis_160613	yHMPu5000035639_Wickerhamomyces_canadensis	Wickerhamomyces_canadensis	#00e4ff	236	Wickerhamomyces canadensis	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
237	wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii	#00e4ff	223	Wickerhamomyces ciferrii	Phaffomycetaceae	10	Phaffomycetaceae	Wickerhamomyces	Leu
238	yHMPu5000035261_candida_ponderosae_160928	yHMPu5000035261_Candida_ponderosae	Candida_ponderosae	#00e4ff	242	Candida ponderosae	Phaffomycetaceae	10	Phaffomycetaceae	Candida	Leu
239	yHMPu5000035047_barnettozyma_pratensis_160519	yHMPu5000035047_Barnettozyma_pratensis	Barnettozyma_pratensis	#00e4ff	244	Barnettozyma pratensis	Phaffomycetaceae	10	Phaffomycetaceae	Barnettozyma	Leu
240	yHMPu5000035045_barnettozyma_hawaiiensis_160613	yHMPu5000035045_Barnettozyma_hawaiiensis	Barnettozyma_hawaiiensis	#00e4ff	246	Barnettozyma hawaiiensis	Phaffomycetaceae	10	Phaffomycetaceae	Barnettozyma	Leu
241	yHMPu5000035686_cyberlindnera_saturnus_160519	yHMPu5000035686_Cyberlindnera_saturnus	Cyberlindnera_saturnus	#00e4ff	230	Cyberlindnera saturnus	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
242	yHMPu5000034978_cyberlindnera_mrakii_160519	yHMPu5000034978_Cyberlindnera_mrakii	Cyberlindnera_mrakii	#00e4ff	250	Cyberlindnera mrakii	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
243	yHMPu5000035688_cyberlindnera_xylosilytica_160519	yHMPu5000035688_Cyberlindnera_xylosilytica	Cyberlindnera_xylosilytica	#00e4ff	228	Cyberlindnera xylosilytica	Phaffomycetaceae	10	Phaffomycetaceae	Cyberlindnera	Leu
